"コード","銘柄名","市場","現在値","前日比(%)","株価移動平均線乖離率(%)","出来高平均6日/25日倍率(倍)"
"6734","ニューテック","東S","1426","-14.0(-0.97%)","-0.81","0.22"
"6786","ＲＶＨ","東S","53","-3.0(-5.36%)","-4.95","0.44"
"6840","ＡＫＩＢＡ　ＨＬＤＧ","東S","452","-27.0(-5.64%)","-7.38","0.48"
"6969","松尾電機","東S","612","-74.0(-10.79%)","-12.34","0.20"
"7035","ａｎｄ　ｆａｃｔｏｒｙ","東S","310","+0.0(+0.00%)","-4.27","0.30"
"7042","アクセスグループ・ＨＬＤＧ","東S","868","-38.0(-4.19%)","-3.83","0.29"
"7064","ハウテレビジョン","東G","2712","+54.0(+2.03%)","-1.86","0.34"
"7073","ジェイック","東G","2077","-5.0(-0.24%)","-10.37","0.08"
"7083","ＡＨＣグループ","東G","738","-27.0(-3.53%)","-5.52","0.11"
"7086","きずなＨＬＤＧ","東G","1433","+40.0(+2.87%)","-0.35","0.44"
"7087","ウイルテック","東S","860","-19.0(-2.16%)","-2.66","0.34"
"7093","アディッシュ","東G","857","-56.0(-6.13%)","-12.05","0.24"
"7111","ＩＮＥＳＴ","東S","79","+2.0(+2.60%)","-14.94","0.45"
"7115","アルファパーチェス","東S","1100","-24.0(-2.14%)","-3.72","0.45"
"7116","ダイワ通信","東S","1336","-24.0(-1.76%)","-6.56","0.34"
"7131","のむら産業","東S","1498","-38.0(-2.47%)","-2.13","0.48"
"7133","ＨＹＵＧＡ　ＰＲＩＭＡＲＹ　Ｃ","東G","1683","-61.0(-3.50%)","-4.11","0.48"
"7273","イクヨ","東S","2468","+173.0(+7.54%)","-0.71","0.17"
"7342","ウェルスナビ","東G","1708","+23.0(+1.36%)","-1.04","0.43"
"7343","ブロードマインド","東G","1122","-43.0(-3.69%)","-4.07","0.23"
"7371","Ｚｅｎｋｅｎ","東G","506","-2.0(-0.39%)","-2.32","0.25"
"7427","エコートレーディング","東S","1218","-10.0(-0.81%)","-2.86","0.45"
"7445","ライトオン","東S","411","+0.0(+0.00%)","-2.17","0.40"
"7501","ティムコ","東S","751","-7.0(-0.92%)","-3.33","0.40"
"7561","ハークスレイ","東S","870","-37.0(-4.08%)","-4.43","0.44"
"7590","タカショー","東S","504","+14.0(+2.86%)","-4.22","0.48"
"7608","エスケイジャパン","東S","697","-7.0(-0.99%)","-3.67","0.46"
"7615","ＹＵ−ＷＡ　Ｃｒｅａｔｉｏｎ","東S","142","-2.0(-1.39%)","-4.80","0.07"
"7678","あさくま","東S","2342","-28.0(-1.18%)","-6.77","0.44"
"7719","東京衡機","東S","218","+1.0(+0.46%)","-6.49","0.13"
"7794","イーディーピー","東G","1254","-181.0(-12.61%)","-19.61","0.21"
"7814","日本創発グループ","東S","597","-5.0(-0.83%)","-0.93","0.34"
"7875","竹田ｉＰＨＬＤＧ","東S","880","-12.0(-1.35%)","-3.19","0.25"
"7879","ノダ","東S","1175","+11.0(+0.95%)","-0.45","0.39"
"7901","マツモト","東S","2824","-11.0(-0.39%)","-7.96","0.36"
"7908","きもと","東S","210","+3.0(+1.45%)","-4.18","0.42"
"7970","信越ポリマー","東P","1630","+20.0(+1.24%)","-2.34","0.49"
"7985","ネポン","東S","1734","+61.0(+3.65%)","-2.50","0.23"
"8013","ナイガイ","東S","259","+0.0(+0.00%)","-2.31","0.23"
"8098","稲畑産業","東P","3125","+30.0(+0.97%)","-0.05","0.49"
"8123","川辺","東S","1060","+0.0(+0.00%)","-3.99","0.40"
"8181","東天紅","東S","842","-4.0(-0.47%)","-2.99","0.30"
"8190","ヤマナカ","名M","684","-1.0(-0.15%)","-0.77","0.38"
"8844","コスモスイニシア","東S","786","+22.0(+2.88%)","-2.89","0.42"
"8996","ハウスフリーダム","東S","818","-5.0(-0.61%)","-0.62","0.45"
"9145","ビーイングＨＬＤＧ","東S","2853","-18.0(-0.63%)","-1.63","0.46"
"9250","ＧＲＣＳ","東G","1714","-42.0(-2.39%)","-1.77","0.26"
"9270","バリュエンスＨＬＤＧ","東G","1067","+1.0(+0.09%)","-5.80","0.42"
"9273","コーア商事ＨＬＤＧ","東P","730","+9.0(+1.25%)","-2.03","0.50"
"9327","イー・ロジット","東S","504","-3.0(-0.59%)","-10.53","0.41"
"9342","スマサポ","東G","1230","-20.0(-1.60%)","-2.54","0.26"
"9353","櫻島埠頭","東S","1856","-9.0(-0.48%)","-3.37","0.42"
"9361","伏木海陸運送","東S","1554","-3.0(-0.19%)","-1.74","0.31"
"9376","ユーラシア旅行社","東S","498","-10.0(-1.97%)","-1.99","0.27"
"9417","スマートバリュー","東S","400","+5.0(+1.27%)","-1.34","0.27"
"9466","アイドママーケティングコミュニ","東S","235","+1.0(+0.43%)","-0.79","0.33"
"9537","北陸瓦斯","東S","3620","-25.0(-0.69%)","-0.20","0.41"
"9539","京葉瓦斯","東S","2767","-10.0(-0.36%)","-0.04","0.18"
"9557","エアークローゼット","東G","399","+1.0(+0.25%)","-0.05","0.30"
"9563","Ａｔｌａｓ　Ｔｅｃｈｎｏｌｏｇ","東G","423","+2.0(+0.48%)","-6.27","0.44"
"9565","ＧＬＯＥ","東G","2341","-22.0(-0.93%)","-1.24","0.47"
"9610","ウィルソン・ラーニング　ワール","東S","140","-1.0(-0.71%)","-1.41","0.41"
"9637","オーエス","東S","4990","+0.0(+0.00%)","-0.02","0.21"
"9651","日本プロセス","東S","986","+0.0(+0.00%)","-0.31","0.49"
"9686","東洋テック","東S","1274","-18.0(-1.39%)","-4.48","0.24"
"9696","ウィザス","東S","1625","-30.0(-1.81%)","-1.86","0.48"
"9701","東京會舘","東S","3910","-10.0(-0.26%)","-0.53","0.26"
"9720","ホテル、ニューグランド","東S","4670","+0.0(+0.00%)","-1.42","0.23"
"9765","オオバ","東P","1003","+5.0(+0.50%)","-0.12","0.42"
"9767","日建工学","東S","1632","+0.0(+0.00%)","-1.70","0.21"
"9827","リリカラ","東S","506","+1.0(+0.20%)","-2.17","0.28"
"9876","コックス","東S","250","-4.0(-1.57%)","-3.45","0.44"
"9973","小僧寿し","東S","19","+0.0(+0.00%)","-9.00","0.27"
