,順位,コード,名称,市場,時価総額,上場年月日,取引値,決算年月
100,101,7119,(株)ハルメクホールディングス,東証GRT,13906,2023-03-23,1277.0,2023/03
101,102,9343,(株)アイビス,東証GRT,6816,2023-03-23,1875.0,2022/12
102,103,7120,(株)ＳＨＩＮＫＯ,東証STD,4134,2023-03-22,2254.0,2023/03
103,104,5250,プライム・ストラテジー(株),東証STD,4974,2023-02-22,1431.0,2023/11
104,105,5248,(株)テクノロジーズ,東証GRT,12664,2023-01-26,4490.0,2023/01
105,106,9342,(株)スマサポ,東証GRT,2958,2022-12-29,1230.0,2023/09
106,107,5246,(株)ＥＬＥＭＥＮＴＳ,東証GRT,12807,2022-12-27,583.0,2023/11
107,108,5247,(株)ＢＴＭ,東証GRT,2991,2022-12-27,2116.0,2023/03
108,109,5075,アップコン(株),名証NXT,1897,2022-12-26,1351.0,2023/01
109,110,7115,(株)アルファパーチェス,東証STD,10587,2022-12-26,1100.0,2022/12
110,111,7116,ダイワ通信(株),東証STD,3617,2022-12-26,1336.0,2023/03
111,112,9340,(株)アソインターナショナル,東証STD,3169,2022-12-23,652.0,2023/06
112,113,9341,(株)ＧＥＮＯＶＡ,東証GRT,26051,2022-12-23,1465.0,2023/03
113,114,5244,(株)ｊｉｇ．ｊｐ,東証GRT,14298,2022-12-22,340.0,2023/03
114,115,5836,(株)エージェント・インシュアランス・グループ,名証MN,2314,2022-12-22,996.0,2022/12
115,116,9339,(株)コーチ・エィ,東証STD,3259,2022-12-22,1404.0,2023/12
116,117,2937,(株)サンクゼール,東証GRT,19935,2022-12-21,2164.0,2023/03
117,118,5242,(株)アイズ,東証GRT,1571,2022-12-21,1555.0,2022/12
118,119,5243,ｎｏｔｅ(株),東証GRT,8286,2022-12-21,540.0,2023/11
119,120,5240,ｍｏｎｏＡＩ　ｔｅｃｈｎｏｌｏｇｙ(株),東証GRT,6547,2022-12-20,632.0,2022/12
120,121,9338,(株)ＩＮＦＯＲＩＣＨ,東証GRT,41834,2022-12-20,4460.0,2022/12
121,122,9337,(株)トリドリ,東証GRT,8856,2022-12-19,2860.0,2022/12
122,123,5138,(株)Ｒｅｂａｓｅ,東証GRT,4446,2022-12-16,965.0,2023/03
123,124,5139,オープンワーク(株),東証GRT,19962,2022-12-16,936.0,2022/12
124,125,7114,(株)フーディソン,東証GRT,7768,2022-12-16,1740.0,2023/03
125,126,5137,(株)スマートドライブ,東証GRT,13321,2022-12-15,2144.0,2023/09
126,127,9204,スカイマーク(株),東証GRT,61295,2022-12-14,1016.0,2023/03
127,128,9336,大栄環境(株),東証PRM,265016,2022-12-14,2653.0,2023/03
128,129,5527,(株)ｐｒｏｐｅｒｔｙ　ｔｅｃｈｎｏｌｏｇｉｅｓ,東証GRT,4287,2022-12-13,1032.0,2023/11
129,130,4892,(株)サイフューズ,東証GRT,5715,2022-12-01,724.0,2022/12
130,131,9565,ＧＬＯＥ(株),東証GRT,6401,2022-11-30,2341.0,2023/10
131,132,5136,ｔｒｉｐｌａ(株),東証GRT,13049,2022-11-25,2270.0,2023/10
132,133,4891,(株)ティムス,東証GRT,11435,2022-11-22,284.0,2023/02
133,134,2936,ベースフード(株),東証GRT,21664,2022-11-15,408.0,2023/02
134,135,5134,(株)ＰＯＰＥＲ,東証GRT,2373,2022-11-15,605.0,2023/10
135,136,5133,(株)テリロジーホールディングス,東証STD,4945,2022-11-01,289.0,2023/03
136,137,5132,(株)ｐｌｕｓｚｅｒｏ,東証GRT,17490,2022-10-28,6880.0,2023/10
137,138,9564,(株)ＦＣＥ,東証STD,7491,2022-10-27,2399.0,2023/09
